cause,covariate,spearman_r,p_value
anxiety,gdp_per_capita_ppp,0.009,0.9118
anxiety,health_expenditure_pc,0.172,0.0247
anxiety,physicians_per_1000,0.476,0.0
anxiety,urbanisation_pct,0.458,0.0
anxiety,life_expectancy,0.308,0.0
anxiety,population,-0.231,0.0024
asthma,gdp_per_capita_ppp,-0.543,0.0
asthma,health_expenditure_pc,-0.483,0.0
asthma,physicians_per_1000,0.118,0.127
asthma,urbanisation_pct,0.661,0.0
asthma,life_expectancy,0.049,0.5268
asthma,population,-0.675,0.0
cancer_all,gdp_per_capita_ppp,-0.207,0.0069
cancer_all,health_expenditure_pc,-0.147,0.0559
cancer_all,physicians_per_1000,-0.542,0.0
cancer_all,urbanisation_pct,-0.706,0.0
cancer_all,life_expectancy,-0.407,0.0
cancer_all,population,0.477,0.0
cancer_breast,gdp_per_capita_ppp,-0.657,0.0
cancer_breast,health_expenditure_pc,-0.576,0.0
cancer_breast,physicians_per_1000,-0.727,0.0
cancer_breast,urbanisation_pct,-0.558,0.0
cancer_breast,life_expectancy,-0.701,0.0
cancer_breast,population,0.105,0.1737
cancer_colorectal,gdp_per_capita_ppp,-0.811,0.0
cancer_colorectal,health_expenditure_pc,-0.76,0.0
cancer_colorectal,physicians_per_1000,-0.477,0.0
cancer_colorectal,urbanisation_pct,0.177,0.0209
cancer_colorectal,life_expectancy,-0.191,0.0127
cancer_colorectal,population,-0.539,0.0
cancer_liver,gdp_per_capita_ppp,0.737,0.0
cancer_liver,health_expenditure_pc,0.73,0.0
cancer_liver,physicians_per_1000,0.787,0.0
cancer_liver,urbanisation_pct,0.411,0.0
cancer_liver,life_expectancy,0.77,0.0
cancer_liver,population,0.244,0.0013
cancer_lung,gdp_per_capita_ppp,-0.04,0.6047
cancer_lung,health_expenditure_pc,-0.008,0.9192
cancer_lung,physicians_per_1000,-0.616,0.0
cancer_lung,urbanisation_pct,-0.918,0.0
cancer_lung,life_expectancy,-0.591,0.0
cancer_lung,population,0.614,0.0
cancer_prostate,gdp_per_capita_ppp,-0.466,0.0
cancer_prostate,health_expenditure_pc,-0.364,0.0
cancer_prostate,physicians_per_1000,0.011,0.8884
cancer_prostate,urbanisation_pct,0.183,0.0172
cancer_prostate,life_expectancy,-0.045,0.5635
cancer_prostate,population,-0.154,0.0455
ckd,gdp_per_capita_ppp,0.77,0.0
ckd,health_expenditure_pc,0.82,0.0
ckd,physicians_per_1000,0.613,0.0
ckd,urbanisation_pct,0.127,0.0984
ckd,life_expectancy,0.328,0.0
ckd,population,0.368,0.0
copd,gdp_per_capita_ppp,0.175,0.0225
copd,health_expenditure_pc,0.307,0.0
copd,physicians_per_1000,-0.067,0.3824
copd,urbanisation_pct,-0.443,0.0
copd,life_expectancy,-0.382,0.0
copd,population,0.685,0.0
dementia,gdp_per_capita_ppp,0.735,0.0
dementia,health_expenditure_pc,0.808,0.0
dementia,physicians_per_1000,0.702,0.0
dementia,urbanisation_pct,0.105,0.1723
dementia,life_expectancy,0.537,0.0
dementia,population,0.52,0.0
depression,gdp_per_capita_ppp,0.415,0.0
depression,health_expenditure_pc,0.513,0.0
depression,physicians_per_1000,0.507,0.0
depression,urbanisation_pct,0.069,0.368
depression,life_expectancy,0.132,0.0866
depression,population,0.56,0.0
dm_type1,gdp_per_capita_ppp,0.446,0.0
dm_type1,health_expenditure_pc,0.33,0.0
dm_type1,physicians_per_1000,-0.257,0.0007
dm_type1,urbanisation_pct,-0.633,0.0
dm_type1,life_expectancy,-0.192,0.0122
dm_type1,population,0.554,0.0
dm_type2,gdp_per_capita_ppp,0.693,0.0
dm_type2,health_expenditure_pc,0.757,0.0
dm_type2,physicians_per_1000,0.257,0.0007
dm_type2,urbanisation_pct,-0.449,0.0
dm_type2,life_expectancy,-0.01,0.902
dm_type2,population,0.784,0.0
hypertensive_hd,gdp_per_capita_ppp,0.488,0.0
hypertensive_hd,health_expenditure_pc,0.641,0.0
hypertensive_hd,physicians_per_1000,0.236,0.002
hypertensive_hd,urbanisation_pct,-0.313,0.0
hypertensive_hd,life_expectancy,-0.232,0.0023
hypertensive_hd,population,0.754,0.0
ihd,gdp_per_capita_ppp,-0.517,0.0
ihd,health_expenditure_pc,-0.453,0.0
ihd,physicians_per_1000,-0.743,0.0
ihd,urbanisation_pct,-0.621,0.0
ihd,life_expectancy,-0.956,0.0
ihd,population,0.199,0.0092
self_harm,gdp_per_capita_ppp,-0.241,0.0015
self_harm,health_expenditure_pc,-0.319,0.0
self_harm,physicians_per_1000,-0.266,0.0005
self_harm,urbanisation_pct,0.064,0.406
self_harm,life_expectancy,-0.286,0.0002
self_harm,population,-0.398,0.0
stroke,gdp_per_capita_ppp,-0.436,0.0
stroke,health_expenditure_pc,-0.352,0.0
stroke,physicians_per_1000,-0.543,0.0
stroke,urbanisation_pct,-0.559,0.0
stroke,life_expectancy,-0.879,0.0
stroke,population,0.33,0.0
