cause,male_pct,female_pct,gap
ckd,2.208517384837974,-48.92241595505278,51.13093333989075
cancer_breast,2.3174229375307283,-33.462593601330326,35.780016538861055
dementia,34.83930647468258,16.01337246126046,18.82593401342212
stroke,-15.481387751088926,-33.685001360271656,18.20361360918273
ihd,-39.35118851342409,-54.22306433085421,14.871875817430116
self_harm,1.713431653727053,-5.303084240088152,7.016515893815205
hypertensive_hd,-0.7746912203432057,-4.031103080628857,3.2564118602856515
cancer_colorectal,-13.2054532797066,-14.621386597294562,1.415933317587962
copd,-0.9421615283501571,-1.6971540738973672,0.7549925455472101
dm_type1,0.30725586776416947,-0.36138205687125935,0.6686379246354288
cancer_all,0.3277017250958125,0.23769621249460612,0.0900055126012064
depression,-0.6602386017699373,0.5877792872293518,-1.2480178889992892
dm_type2,-5.0643137653741475,1.0991618041049742,-6.163475569479122
asthma,-7.166229983479325,2.8471641981483065,-10.013394181627632
cancer_lung,-30.872509683679368,2.60457496968652,-33.477084653365885
cancer_liver,-6.355278809045941,43.19963038787503,-49.554909196920974
anxiety,115.71921362973745,357.57400995245774,-241.8547963227203
cancer_prostate,2.020469754086303,,
